K_ENTIDAD_MUNICIPIO,HOGARES,POBLACION,SUPERFICIE,DENS_HOGS,DENS_HABS,ANALF,SPRIM,ANOS_PROMEDIO_DE_ESCOLARIDAD,OVSAE,OVSEE,PL<5000,PO2SM,INGRESOPC_ANUAL,DISP_INTERNET,DISP_TV_PAGA,DISP_TEL_CELULAR,DISP_TEL_FIJO,NUM_OPS,CLASS_PEN_BAF_HABS_COAXFO,IS_PEN_BAF_HABS_COAXFO
30067,3168,18367,43.29,7318.087318087318,7318.087318087318,31.99,53.1,3.42,17.36,3.19,18.97,79.87,773.07,1.2310606060606,7.32323232323232,50.4734848484848,0.75757575757575,0,0,0
30068,18311,66168,61.59,29730.47572657899,29730.47572657899,4.89,17.04,9.18,6.06,0.5,33.06,47.35,3012.11,39.9377423406695,41.3139642837638,82.0763475506526,37.4528971656381,2,1,1
30069,7331,24791,179.46,4085.0328764069986,4085.0328764069986,6.88,23.78,7.58,23.99,1.7,43.94,58.56,1945.39,21.6079716079716,29.4976794976795,69.3693693693693,21.1575211575211,2,1,1
30070,5277,19587,1065.18,495.4092266095871,495.4092266095871,9.6,35.13,5.39,62.61,2.78,100,71.53,1533.96,3.69738339021615,36.6325369738339,38.5665529010238,13.3105802047781,1,0,0
30071,15134,60674,202.44,7475.79529737206,7475.79529737206,10.77,30.75,6.95,6.95,2.44,42.62,61.92,2040.94,19.0945142101784,25.2742894910773,74.2894910773298,21.487111698612,2,1,1
30072,5741,21391,522.28,1099.2188098338056,1099.2188098338056,14.3,34.39,5.74,13.34,5.65,74.91,63.11,1487.94,4.37206061661731,24.9782267897578,55.983278174534,10.3988852116356,1,0,0
30073,12455,43309,709.95,1754.3488978097048,1754.3488978097048,18.84,39.3,5.51,9.17,1.61,85.37,62.18,1616.02,6.35889201124046,22.5050180650341,48.9763147330389,14.2432757928542,1,0,0
30074,1849,7221,18.72,9877.136752136752,9877.136752136752,4.75,18.25,8.18,1.98,0.28,100,51.34,2018.57,21.7414818820984,24.1752298539751,74.9053542455381,22.5527312060573,0,0,0
30075,5512,17105,396.92,1388.692935604152,1388.692935604152,16.37,38.27,5.47,34.92,1.62,100,69.52,1614.81,8.49090909090909,15.1272727272727,58.7636363636363,16.890909090909,1,0,0
30076,3559,13474,155.33,2291.2508852121287,2291.2508852121287,38.24,54.34,3.09,60.81,2.54,100,79.56,740.11,0.39336892385501,19.7527395335768,12.3911211014329,11.4076987917954,0,0,0
