HOGARES,POBLACION,PO2SM,IM,SUPERFICIE,INFRA_INDEX,ALL_ACCESS,NUM_OPS,DENS_HOGS,PEN_CLASS
6929,23865,68.28,0.335,531.06,-0.14,1016,1,1304.7489925808761,1
5254,26322,73.68,3.545,87.93,-0.73,0,0,5975.207551461389,0
9962,35823,63.88,0.529,1152.39,0.13,1342,1,864.4642872638602,1
1672,6677,82.08,0.62,65.08,-0.73,0,0,2569.1456668715427,0
1248,5189,79.15,0.729,86.8,-0.41,0,0,1437.7880184331798,0
4651,16480,60.55,-0.332,60.8,0.27,443,1,7649.671052631579,0
2128,8417,78.08,1.592,60.04,-0.83,1,1,3544.3037974683543,1
2671,9668,80.26,0.592,95.46,-0.72,33,1,2798.0305887282634,0
3842,14736,71.02,0.148,227.32,-0.38,276,1,1690.1284532817176,0
3607,15018,70.3,1.894,100.05,-1.04,0,0,3605.1974012993505,0
2570,10934,69.79,1.719,195.25,-1.27,0,0,1316.2612035851473,0
1304,5284,76.22,1.267,44.02,-0.55,0,0,2962.289868241708,0
5641,20887,68.44,0.571,449.03,-0.27,334,1,1256.2635013250786,0
15194,56956,75.82,1.05,522.47,-0.54,1977,1,2908.1095565295614,1
34938,106277,48.01,-0.54,1517.86,0.65,9041,2,2301.7933142714087,1
24296,96418,47.75,0.136,718.35,0.41,7163,2,3382.1953086935337,1
2929,11630,76.73,1.213,225.81,-0.98,0,0,1297.108188299898,0
1550,4953,66.33,0.211,102.72,0.07,242,1,1508.9563862928348,0
2591,11431,67.28,0.568,133.46,-0.92,0,0,1941.4056646186123,0
4444,13421,58.6,-0.053,578.57,0.34,1588,2,768.100661976943,1
1038,3833,77.9,0.063,65.31,-0.5,0,0,1589.343132751493,0
11804,37857,52.25,0.029,917.89,-0.17,1860,2,1285.9928749632309,1
4476,18715,50.69,-0.358,36.71,0.3,131,2,12192.862980114409,1
3992,15818,75.92,0.519,277.8,-0.56,1,1,1437.0050395968321,0
16615,61982,70.08,-0.041,168.05,0.13,5460,2,9886.938411187146,1
1711,7709,70.11,1.411,56.5,-0.89,0,0,3028.3185840707965,0
1209,5258,63.25,0.394,11.2,-0.33,0,0,10794.642857142859,0
1909,6869,67.97,-0.306,18.85,0.09,375,1,10127.320954907162,0
1204,5670,69.87,0.489,50.23,-0.95,0,0,2396.9739199681467,0
4393,17428,74.26,0.473,98.05,-0.51,128,1,4480.367159612442,0
13873,46672,61.71,-0.082,547.66,0.06,3368,2,2533.140999890443,1
46905,161829,39.48,-0.991,964.36,1.27,24299,2,4863.847525820233,2
737,2185,63.94,-0.075,56.16,-0.36,0,0,1312.3219373219374,0
9393,30580,40.58,-1.056,124.17,0.92,5057,2,7564.629137472819,2
7004,29434,68.8,0.675,1906.33,-0.51,159,1,367.40753174948725,0
6205,20275,61.36,-0.372,338.61,0.36,1628,1,1832.491657068604,1
184242,609964,29.79,-1.51,247.03,1.65,169940,3,74582.84418896491,3
2689,11760,60.72,0.307,51.43,-0.52,143,1,5228.46587594789,1
139298,480841,32.16,-1.505,124.4,1.83,127811,3,111975.884244373,3
9494,38198,57.99,-0.211,179.03,0.09,2025,1,5303.021839915098,1
1254,5446,80.47,1.668,37.28,-0.8,0,0,3363.7339055793987,0
5136,17896,55.74,-0.469,88.82,0.24,1581,1,5782.481423102905,1
3365,12108,78.94,0.505,112.46,0,156,1,2992.174995553975,0
1983,7194,69.77,1.465,263.67,-0.79,0,0,752.0764592103766,0
2670,11354,50.07,-0.054,21.7,-0.23,0,0,12304.147465437787,0
3508,13409,74.29,0.093,178.05,-0.33,145,1,1970.2330805953384,0
11181,43871,69.16,1.534,282.07,-0.82,814,1,3963.909667812954,1
3750,14620,58.18,1.991,241.82,-1.22,0,0,1550.740219998346,0
3549,15031,77.59,2.191,68.94,-0.58,0,0,5147.954743255004,0
1714,6502,53.61,0.659,292.69,-0.48,0,0,585.602514605897,0
3932,16127,51.04,-0.308,137.25,-0.29,370,1,2864.8451730418947,0
2752,11312,78.95,0.233,76.46,0.16,146,1,3599.267590897202,0
